Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_900476065.1	50465_F02	Mesomycoplasma hyorhinis		NCTC10130					GCF_900476065.1-RS_2025_03_21	Complete Genome	2018-08-19		1
GCF_000007085.1	ASM708v1	Caldanaerobacter subterraneus subsp. tengcongensis MB4		MB4					GCF_000007085.1-RS_2024_12_09	Complete Genome	2002-05-14		1
GCF_001484725.1	ASM148472v1	Clostridium autoethanogenum DSM 10061		DSM 10061					GCF_001484725.1-RS_2025_03_28	Complete Genome	2016-01-04		1
GCF_000763515.1	ASM76351v1	Listeria ivanovii subsp. ivanovii		WSLC 3010					GCF_000763515.1-RS_2024_12_09	Complete Genome	2014-10-06		1
GCF_022179545.1	ASM2217954v1	Mycolicibacterium fortuitum subsp. fortuitum		JCM 6387					GCF_022179545.1-RS_2024_05_11	Complete Genome	2022-01-27		1
GCF_001644705.1	ASM164470v1	Dickeya solani IPO 2222		IPO 2222					GCF_001644705.1-RS_2025_03_05	Complete Genome	2016-05-16		1
GCF_009662475.1	ASM966247v1	Acidithiobacillus thiooxidans ATCC 19377		ATCC 19377					GCF_009662475.1-RS_2024_04_27	Complete Genome	2019-11-14		1
GCF_000187935.1	ASM18793v2	Streptococcus parauberis NCFD 2020		NCFD 2020					GCF_000187935.1-RS_2024_07_24	Complete Genome	2011-03-25	AEUT02	1
GCF_001953955.1	ASM195395v1	Prevotella intermedia ATCC 25611 = DSM 20706		ATCC 25611					GCF_001953955.1-RS_2025_01_08	Complete Genome	2017-01-18		2
GCF_016026735.1	ASM1602673v1	Serratia rubidaea		FDAARGOS_926					GCF_016026735.1-RS_2024_12_11	Complete Genome	2020-12-14		1
GCF_000961515.1	ASM96151v1	Paraburkholderia fungorum		ATCC BAA-463					GCF_000961515.1-RS_2025_04_07	Complete Genome	2015-03-24		4
GCF_900636575.1	42912_C01	Streptococcus canis		NCTC12191					GCF_900636575.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_001298465.1	ASM129846v1	Campylobacter concisus		ATCC 33237					GCF_001298465.1-RS_2025_03_03	Complete Genome	2015-09-24		1
GCF_001742145.1	ASM174214v1	Pectobacterium parmentieri		RNS 08-42-1A					GCF_001742145.1-RS_2025_03_05	Complete Genome	2016-09-22		1
GCF_000821185.2	ASM82118v2	Serratia symbiotica		CWBI-2.3					GCF_000821185.2-RS_2025_03_15	Complete Genome	2020-07-14		3
GCF_000055785.1	ASM5578v1	Chromohalobacter israelensis DSM 3043		DSM 3043					GCF_000055785.1-RS_2024_08_18	Complete Genome	2006-04-11		1
GCF_002706745.1	ASM270674v1	Companilactobacillus farciminis KCTC 3681 = DSM 20184		DSM 20184					GCF_002706745.1-RS_2025_03_05	Complete Genome	2017-10-25		1
GCF_002706665.1	ASM270666v1	Bifidobacterium pseudolongum subsp. globosum DSM 20092		DSM 20092					GCF_002706665.1-RS_2025_03_05	Complete Genome	2017-10-25		1
GCF_000018785.1	ASM1878v1	Acholeplasma laidlawii PG-8A		PG-8A					GCF_000018785.1-RS_2025_03_27	Complete Genome	2007-12-07		1
GCF_000007025.1	ASM702v1	Rickettsia conorii str. Malish 7		Malish 7					GCF_000007025.1-RS_2025_01_08	Complete Genome	2002-11-25		1
GCF_008704425.1	ASM870442v1	Streptomyces fradiae ATCC 10745 = DSM 40063		ATCC 10745					GCF_008704425.1-RS_2024_11_06	Complete Genome	2019-09-26		1
GCF_000010265.1	ASM1026v1	Clostridium kluyveri NBRC 12016		NBRC 12016					GCF_000010265.1-RS_2025_04_10	Complete Genome	2009-01-09		2
GCF_000959445.1	ASM95944v1	Burkholderia vietnamiensis LMG 10929		LMG 10929					GCF_000959445.1-RS_2025_04_07	Complete Genome	2015-03-20		4
GCF_000019345.1	ASM1934v1	Ureaplasma parvum serovar 3 str. ATCC 27815		ATCC 27815					GCF_000019345.1-RS_2024_12_13	Complete Genome	2008-02-26		1
GCF_021654455.1	ASM2165445v1	Streptococcus parasuis		SUT-286					GCF_021654455.1-RS_2025_03_13	Complete Genome	2021-12-28		1
GCF_014779555.2	ASM1477955v2	Lysobacter capsici		VKM B-2533					GCF_014779555.2-RS_2024_05_06	Complete Genome	2022-04-14		1
GCF_012317185.1	ASM1231718v1	[Clostridium] innocuum		ATCC 14501					GCF_012317185.1-RS_2025_02_23	Complete Genome	2020-04-15		1
GCF_016127195.1	ASM1612719v1	Aeromonas jandaei		FDAARGOS_986					GCF_016127195.1-RS_2024_12_13	Complete Genome	2020-12-20		1
GCF_900474605.1	41594_C01	Enterococcus cecorum		NCTC12421					GCF_900474605.1-RS_2024_12_09	Complete Genome	2018-06-18		1
GCF_008801925.2	ASM880192v2	Cupriavidus basilensis		DSM 11853					GCF_008801925.2-RS_2025_02_23	Complete Genome	2020-10-29		8
GCF_010508875.1	ASM1050887v1	Flavonifractor plautii		JCM 32125					GCF_010508875.1-RS_2025_04_02	Complete Genome	2020-02-13		1
GCF_000230655.2	ASM23065v3	Thermotoga maritima MSB8		MSB8					GCF_000230655.2-RS_2024_12_09	Complete Genome	2013-12-20		1
GCF_000092045.1	ASM9204v1	Rhizobium etli CFN 42		CFN 42					GCF_000092045.1-RS_2024_11_27	Complete Genome	2006-03-06		7
GCF_000026105.1	ASM2610v1	Pseudomonas entomophila L48		L48					GCF_000026105.1-RS_2025_03_28	Complete Genome	2006-05-10		1
GCF_000179635.2	ASM17963v2	Ruminococcus albus 7 = DSM 20455		7					GCF_000179635.2-RS_2025_03_12	Complete Genome	2010-12-23		5
GCF_000021925.1	ASM2192v1	Desulfitobacterium hafniense DCB-2		DCB-2					GCF_000021925.1-RS_2025_03_27	Complete Genome	2009-01-05		1
GCF_004295125.1	ASM429512v1	[Clostridium] scindens ATCC 35704		ATCC 35704					GCF_004295125.1-RS_2024_12_13	Complete Genome	2019-02-25		1
GCF_000959545.1	ASM95954v1	Burkholderia ambifaria AMMD		AMMD					GCF_000959545.1-RS_2025_04_07	Complete Genome	2015-03-20		4
GCF_001042595.1	ASM104259v1	Bifidobacterium dentium JCM 1195 = DSM 20436		JCM 1195					GCF_001042595.1-RS_2024_12_16	Complete Genome	2015-02-17		1
GCF_003010495.1	ASM301049v1	Megasphaera elsdenii DSM 20460		ATCC 25940					GCF_003010495.1-RS_2024_12_22	Complete Genome	2018-03-19		1
GCF_000300455.3	ASM30045v4	Kosakonia sacchari SP1		SP1					GCF_000300455.3-RS_2024_12_09	Complete Genome	2016-07-11		1
GCF_000252995.1	ASM25299v1	Salmonella bongori NCTC 12419		NCTC 12419					GCF_000252995.1-RS_2024_12_09	Complete Genome	2011-07-06		1
GCF_001277215.2	ASM127721v2	Cronobacter malonaticus LMG 23826		LMG 23826					GCF_001277215.2-RS_2025_04_03	Complete Genome	2016-01-13		3
GCF_000145615.1	ASM14561v1	Thermoanaerobacterium thermosaccharolyticum DSM 571		DSM 571					GCF_000145615.1-RS_2025_04_07	Complete Genome	2010-08-13		1
GCF_000023145.1	ASM2314v1	Corynebacterium kroppenstedtii DSM 44385		DSM 44385					GCF_000023145.1-RS_2024_08_12	Complete Genome	2009-05-19		1
GCF_000265465.1	ASM26546v1	Ornithobacterium rhinotracheale DSM 15997		DSM 15997					GCF_000265465.1-RS_2024_12_22	Complete Genome	2012-06-11		1
GCF_040267515.1	UMSP_Dlac_medaka1	Delftia lacustris		DSM 21246					GCF_040267515.1-RS_2024_11_20	Complete Genome	2024-06-23		2
GCF_900637265.1	50432_C01	Achromobacter insolitus		NCTC13520					GCF_900637265.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_000807675.2	ASM80767v2	Eubacterium limosum		ATCC 8486					GCF_000807675.2-RS_2025_04_12	Complete Genome	2017-04-03		1
GCF_016028515.1	ASM1602851v1	Stutzerimonas frequens		FDAARGOS_877					GCF_016028515.1-RS_2024_08_13	Complete Genome	2020-12-14		1
GCF_031348265.1	ASM3134826v1	Streptomyces collinus		CGMCC 4.1623					GCF_031348265.1-RS_2024_09_11	Complete Genome	2023-09-12		1
GCF_000284295.1	ASM28429v1	Actinoplanes missouriensis 431		431					GCF_000284295.1-RS_2024_12_11	Complete Genome	2012-03-28		1
GCF_013267395.1	ASM1326739v1	Achromobacter denitrificans		FDAARGOS_786					GCF_013267395.1-RS_2024_07_20	Complete Genome	2020-06-04		1
GCF_040529065.1	ASM4052906v1	Xanthomonas sacchari		CFBP4641					GCF_040529065.1-RS_2024_07_06	Complete Genome	2024-07-07		1
GCF_019047465.1	ASM1904746v1	Lelliottia amnigena		FDAARGOS 1444					GCF_019047465.1-RS_2024_07_20	Complete Genome	2021-06-28		1
GCF_016027095.1	ASM1602709v1	Sphingomonas paucimobilis		FDAARGOS_908					GCF_016027095.1-RS_2024_12_11	Complete Genome	2020-12-14		4
GCF_015074805.1	ASM1507480v1	Sphingobium fuliginis		KK22					GCF_015074805.1-RS_2025_03_29	Complete Genome	2020-10-29		4
GCF_016028855.1	ASM1602885v1	Rothia kristinae		FDAARGOS_864					GCF_016028855.1-RS_2024_12_11	Complete Genome	2020-12-14		1
GCF_016026595.1	ASM1602659v1	Brevibacterium casei		FDAARGOS_936					GCF_016026595.1-RS_2025_02_14	Complete Genome	2020-12-14		1
GCF_001698225.1	ASM169822v1	Gordonia terrae		3612					GCF_001698225.1-RS_2025_03_29	Complete Genome	2016-08-02		1
GCF_900637615.1	52191_A01	Bordetella hinzii		NCTC13199					GCF_900637615.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_025149285.1	ASM2514928v1	Hungatella hathewayi		DSM 13479					GCF_025149285.1-RS_2024_06_17	Complete Genome	2022-09-12		1
GCF_000018145.1	ASM1814v1	Dinoroseobacter shibae DFL 12 = DSM 16493		DFL 12					GCF_000018145.1-RS_2024_05_01	Complete Genome	2007-10-05		6
GCF_020735985.1	ASM2073598v1	Bordetella holmesii		FDAARGOS_1539					GCF_020735985.1-RS_2024_12_09	Complete Genome	2021-11-03		1
GCF_000008185.1	ASM818v1	Treponema denticola ATCC 35405		ATCC 35405					GCF_000008185.1-RS_2024_05_01	Complete Genome	2004-02-03		1
GCF_900475905.1	49595_E01	Kingella kingae		NCTC10529					GCF_900475905.1-RS_2024_12_11	Complete Genome	2018-06-17		1
GCF_040556925.1	ASM4055692v1	Mycoplasmoides genitalium		G37					GCF_040556925.1-RS_2025_03_31	Complete Genome	2024-07-10		1
GCF_000220945.1	ASM22094v1	Amycolatopsis mediterranei S699		S699					GCF_000220945.1-RS_2025_03_27	Complete Genome	2011-07-19		1
GCF_000016645.1	ASM1664v1	Flavobacterium johnsoniae UW101		UW101; ATCC 17061					GCF_000016645.1-RS_2024_12_11	Complete Genome	2007-05-01		1
GCF_001856645.1	ASM185664v1	Clostridium pasteurianum DSM 525 = ATCC 6013		ATCC 6013					GCF_001856645.1-RS_2025_03_05	Complete Genome	2016-10-31		1
GCF_000013085.1	ASM1308v1	Rhodospirillum rubrum ATCC 11170		ATCC 11170					GCF_000013085.1-RS_2025_03_28	Complete Genome	2005-12-13		2
GCF_000330885.1	ASM33088v1	Rhizobium tropici CIAT 899		CIAT 899					GCF_000330885.1-RS_2024_04_23	Complete Genome	2013-01-03		4
GCF_000006685.1	ASM668v1	Chlamydia muridarum str. Nigg		Nigg					GCF_000006685.1-RS_2025_03_27	Complete Genome	2003-03-28		2
GCF_000818015.1	ASM81801v1	Stutzerimonas balearica DSM 6083		DSM6083 (=SP1402)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-01-14		1
GCF_003660105.1	ASM366010v1	Aliarcobacter cryaerophilus ATCC 43158		ATCC 43158					GCF_003660105.1-RS_2024_08_19	Complete Genome	2018-10-16		2
GCF_000331185.2	ASM33118v2	Streptomyces rimosus subsp. rimosus ATCC 10970		ATCC 10970					GCF_000331185.2-RS_2024_04_16	Complete Genome	2021-03-19		2
GCF_900537995.1	Roseburia intestinalis strain L1-82	Roseburia intestinalis L1-82		L1-82					GCF_900537995.1-RS_2024_12_13	Complete Genome	2019-02-27		1
GCF_000313175.2	ASM31317v2	Leptospira santarosai serovar Shermani str. LT 821		LT 821					GCF_000313175.2-RS_2025_03_28	Complete Genome	2014-10-08		2
GCF_008245025.1	ASM824502v1	Campylobacter lari subsp. concheus		LMG 21009					GCF_008245025.1-RS_2024_05_17	Complete Genome	2019-09-03		1
GCF_025231465.1	ASM2523146v1	Streptomyces murinus		CR-43					GCF_025231465.1-RS_2024_09_28	Complete Genome	2022-09-16		1
GCF_001411805.1	ASM141180v1	Burkholderia plantarii		ATCC 43733					GCF_001411805.1-RS_2025_03_28	Complete Genome	2015-10-23		3
GCF_001687625.2	ASM168762v2	Planococcus maritimus		DSM 17275					GCF_001687625.2-RS_2025_03_05	Complete Genome	2016-11-01		1
GCF_000816085.1	ASM81608v1	Staphylococcus hyicus		ATCC 11249					GCF_000816085.1-RS_2024_12_09	Complete Genome	2015-01-07		1
GCF_900183975.1	PD885.1	Xanthomonas fragariae		PD885					GCF_900183975.1-RS_2024_05_05	Complete Genome	2017-05-25		3
GCF_016889425.1	ASM1688942v1	Corynebacterium amycolatum		FDAARGOS_1189					GCF_016889425.1-RS_2025_03_29	Complete Genome	2021-02-15		1
GCF_001543205.1	ASM154320v1	Aerococcus urinaeequi		CCUG28094					GCF_001543205.1-RS_2025_03_31	Complete Genome	2016-02-01		1
GCF_019668505.1	ASM1966850v1	Borrelia miyamotoi		HT31					GCF_019668505.1-RS_2025_03_30	Complete Genome	2021-06-26		1
GCF_000011965.2	ASM1196v2	Ruegeria pomeroyi DSS-3		DSS-3					GCF_000011965.2-RS_2025_04_07	Complete Genome	2013-12-11		2
GCF_000146505.1	ASM14650v1	Fibrobacter succinogenes subsp. succinogenes S85		S85					GCF_000146505.1-RS_2025_03_28	Complete Genome	2010-08-06		1
GCF_008153345.1	ASM815334v1	Treponema phagedenis		B43.1					GCF_008153345.1-RS_2024_04_27	Complete Genome	2019-08-30		1
GCF_006364355.1	ASM636435v1	Vibrio furnissii		FDAARGOS_777					GCF_006364355.1-RS_2025_03_29	Complete Genome	2019-06-19		3
GCF_002288285.1	ASM228828v1	Sphingobium xenophagum		C1					GCF_002288285.1-RS_2025_03_30	Complete Genome	2017-09-08		7
GCF_900637905.1	52756_G01	Parvimonas micra		NCTC11808					GCF_900637905.1-RS_2024_08_25	Complete Genome	2018-12-20		1
GCF_003515105.1	ASM351510v1	Pseudoalteromonas lipolytica		HJ51					GCF_003515105.1-RS_2024_04_22	Complete Genome	2018-09-10		3
GCF_019930785.1	ASM1993078v1	Burkholderia dolosa		FDAARGOS_1463					GCF_019930785.1-RS_2024_11_06	Complete Genome	2021-09-12		3
GCF_000012345.1	ASM1234v1	Candidatus Pelagibacter ubique HTCC1062		HTCC1062					GCF_000012345.1-RS_2025_03_31	Complete Genome	2005-07-25		1
GCF_001025195.1	ASM102519v1	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043		JCM 1194					GCF_001025195.1-RS_2024_12_11	Complete Genome	2015-03-24		1
GCF_002706425.1	ASM270642v1	Loigolactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001		DSM 20001					GCF_002706425.1-RS_2024_04_27	Complete Genome	2017-10-25		1
GCF_000022325.1	ASM2232v1	Caldicellulosiruptor bescii DSM 6725		DSM 6725					GCF_000022325.1-RS_2024_12_13	Complete Genome	2009-02-04		3
GCF_000026005.1	ASM2600v1	Ehrlichia ruminantium str. Welgevonden		Welgevonden					GCF_000026005.1-RS_2025_01_08	Complete Genome	2005-01-05		1
GCF_000019945.1	ASM1994v1	Methylorubrum populi BJ001		BJ001					GCF_000019945.1-RS_2025_03_28	Complete Genome	2008-04-09		3
GCF_000204645.1	ASM20464v1	Alicycliphilus denitrificans K601		K601					GCF_000204645.1-RS_2025_03_27	Complete Genome	2011-04-19		2
GCF_000355695.1	ASM35569v1	Clavibacter nebraskensis NCPPB 2581		type strain: NCPPB 2581					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-04-01		1
GCF_000027145.1	ASM2714v1	Listeria seeligeri serovar 1/2b str. SLCC3954		SLCC3954					GCF_000027145.1-RS_2024_12_11	Complete Genome	2010-02-18		1
GCF_900636915.1	45532_F02	Aggregatibacter aphrophilus ATCC 33389		NCTC 5906					GCF_900636915.1-RS_2024_12_11	Complete Genome	2018-12-20		1
GCF_000063605.1	ASM6360v1	Mycoplasmopsis agalactiae PG2		PG2					GCF_000063605.1-RS_2024_12_13	Complete Genome	2007-05-24		1
GCF_001685355.1	ASM168535v1	Streptomyces lincolnensis		NRRL 2936					GCF_001685355.1-RS_2025_03_05	Complete Genome	2016-07-15		1
GCF_048320135.1	ASM4832013v1	Piscinibacter sakaiensis		201-F6					GCF_048320135.1-RS_2025_03_05	Complete Genome	2025-03-06		1
GCF_001682385.1	ASM168238v1	Azoarcus olearius		DQS-4					GCF_001682385.1-RS_2025_03_05	Complete Genome	2016-07-08		1
GCF_021919345.1	ASM2191934v1	Paenarthrobacter nicotinovorans		ATCC 49919					GCF_021919345.1-RS_2024_12_09	Complete Genome	2022-02-03		2
GCF_016028635.1	ASM1602863v1	Stutzerimonas degradans		FDAARGOS_876					GCF_016028635.1-RS_2024_08_13	Complete Genome	2020-12-14		1
GCF_024347355.1	ASM2434735v1	Vibrio chagasii		LMG 21353					GCF_024347355.1-RS_2024_10_11	Complete Genome	2022-07-13		5
GCF_003606265.1	ASM360626v1	Clostridium septicum		DSM 7534					GCF_003606265.1-RS_2025_04_13	Complete Genome	2018-10-01		2
GCF_009362255.1	ASM936225v1	Tenacibaculum mesophilum		DSM 13764					GCF_009362255.1-RS_2024_10_23	Complete Genome	2019-10-26		1
GCF_000953635.1	LMI	Legionella micdadei		ATCC 33218					GCF_000953635.1-RS_2024_06_10	Complete Genome	2014-10-21		1
GCF_001941345.1	ASM194134v1	Corynebacterium stationis		622=DSM 20302					GCF_001941345.1-RS_2025_03_12	Complete Genome	2017-01-10		2
GCF_001553955.1	ASM155395v1	Moraxella osloensis		CCUG 350					GCF_001553955.1-RS_2025_03_03	Complete Genome	2016-02-09		5
GCF_008824185.1	ASM882418v1	Paracoccus pantotrophus		DSM 2944					GCF_008824185.1-RS_2024_12_09	Complete Genome	2019-10-06		4
GCF_900638215.1	56553_A01	Nocardiopsis dassonvillei		NCTC10488					GCF_900638215.1-RS_2024_10_23	Complete Genome	2018-12-20		1
GCF_037113525.1	AgR_BfibD1_NP	Butyrivibrio fibrisolvens		D1					GCF_037113525.1-RS_2024_07_14	Complete Genome	2024-04-05		3
GCF_003015125.1	ASM301512v1	Caulobacter segnis		TK0059					GCF_003015125.1-RS_2024_12_09	Complete Genome	2018-03-26		1
GCF_034424645.1	ASM3442464v1	Bordetella avium		HAMBI_2160					GCF_034424645.1-RS_2024_12_09	Complete Genome	2023-12-17		1
GCF_040790665.1	ASM4079066v1	Sulfitobacter pontiacus		DSM 10014					GCF_040790665.1-RS_2024_07_22	Complete Genome	2024-07-22		5
GCF_001267435.1	ASM126743v1	Moorella thermoacetica		DSM 2955					GCF_001267435.1-RS_2025_04_08	Complete Genome	2015-08-13		1
GCF_016028275.1	ASM1602827v1	Staphylococcus carnosus		FDAARGOS_883					GCF_016028275.1-RS_2024_12_13	Complete Genome	2020-12-14		1
GCF_031191545.1	ASM3119154v1	Schaalia odontolytica		LMG 18080					GCF_031191545.1-RS_2024_09_06	Complete Genome	2023-09-04		1
GCF_002302565.1	ASM230256v1	Capnocytophaga canimorsus		7120					GCF_002302565.1-RS_2024_10_22	Complete Genome	2017-09-14		1
GCF_020099395.1	ASM2009939v1	Streptomyces mobaraensis		DSM 40587					GCF_020099395.1-RS_2024_11_06	Complete Genome	2021-09-23		2
GCF_008705175.1	ASM870517v1	Clostridium diolis		DSM 15410					GCF_008705175.1-RS_2025_03_28	Complete Genome	2019-09-24		1
GCF_019930665.1	ASM1993066v1	Bacteroides nordii		FDAARGOS_1461					GCF_019930665.1-RS_2024_10_23	Complete Genome	2021-09-12		1
GCF_000067205.1	ASM6720v1	Bordetella petrii		DSM 12804					GCF_000067205.1-RS_2024_12_11	Complete Genome	2007-12-18		1
GCF_016726365.1	ASM1672636v1	Rothia aeria		FDAARGOS_1137					GCF_016726365.1-RS_2024_12_11	Complete Genome	2021-01-20		1
GCF_028609885.1	ASM2860988v1	Corynebacterium jeikeium		DSM 7171					GCF_028609885.1-RS_2025_03_24	Complete Genome	2023-02-13		1
GCF_001457555.1	NCTC10562	Fusobacterium polymorphum		NCTC10562					GCF_001457555.1-RS_2025_04_08	Complete Genome	2015-03-22		2
GCF_010669245.1	ASM1066924v1	Lactococcus raffinolactis		KACC 13441					GCF_010669245.1-RS_2025_03_17	Complete Genome	2020-02-17		1
GCF_900187105.1	50618_F01	Eikenella corrodens		NCTC10596					GCF_900187105.1-RS_2024_12_13	Complete Genome	2017-08-15		1
GCF_010727605.1	ASM1072760v1	Mycobacterium simiae		JCM 12377					GCF_010727605.1-RS_2024_12_13	Complete Genome	2020-02-06		1
GCF_000013325.1	ASM1332v1	Novosphingobium aromaticivorans DSM 12444		DSM 12444					GCF_000013325.1-RS_2024_12_09	Complete Genome	2007-04-18		3
GCF_001547995.1	ASM154799v1	Asaia bogorensis NBRC 16594		NBRC 16594					GCF_001547995.1-RS_2024_12_15	Complete Genome	2015-10-15		1
GCF_016127255.1	ASM1612725v1	Leuconostoc pseudomesenteroides		FDAARGOS_1003					GCF_016127255.1-RS_2025_04_15	Complete Genome	2020-12-20		1
GCF_024347315.1	ASM2434731v1	Vibrio atlanticus		CECT 7223					GCF_024347315.1-RS_2025_03_29	Complete Genome	2022-07-13		3
GCF_000017245.1	ASM1724v1	Actinobacillus succinogenes 130Z		130Z					GCF_000017245.1-RS_2024_11_18	Complete Genome	2007-07-05		1
GCF_003172995.1	ASM317299v1	Streptococcus sobrinus		SL1					GCF_003172995.1-RS_2025_03_29	Complete Genome	2018-05-27		1
GCF_000196115.1	ASM19611v1	Rhodopirellula baltica SH 1		1					GCF_000196115.1-RS_2024_10_11	Complete Genome	2003-07-07		1
GCF_000220705.2	ASM22070v2	Streptomyces xinghaiensis S187		S187					GCF_000220705.2-RS_2025_03_21	Complete Genome	2017-09-12		1
GCF_000145235.1	ASM14523v1	Micromonospora aurantiaca ATCC 27029		ATCC 27029					GCF_000145235.1-RS_2024_04_26	Complete Genome	2010-08-11		1
GCF_000340885.1	ASM34088v1	Clostridium saccharoperbutylacetonicum N1-4(HMT)		N1-4(HMT)					GCF_000340885.1-RS_2025_04_11	Complete Genome	2013-02-19		2
GCF_003584745.1	ASM358474v1	Mycobacterium pseudoshottsii JCM 15466		JCM 15466					GCF_003584745.1-RS_2025_03_28	Complete Genome	2017-10-25		1
GCF_001633165.1	ASM163316v1	Rhodovulum sulfidophilum DSM 1374		DSM 1374					GCF_001633165.1-RS_2024_05_12	Complete Genome	2016-04-28		3
GCF_000012805.1	ASM1280v1	Nitrosococcus oceani ATCC 19707		ATCC 19707; JCM30415 (Type strain)					GCF_000012805.1-RS_2024_04_26	Complete Genome	2005-10-04		2
GCF_000772105.1	ASM77210v1	Vibrio tubiashii ATCC 19109		19109					GCF_000772105.1-RS_2024_12_11	Complete Genome	2014-11-05		6
GCF_900475445.1	42727_F01	Streptococcus cristatus ATCC 51100		NCTC 12479					GCF_900475445.1-RS_2024_12_13	Complete Genome	2018-06-17		1
GCF_016127275.1	ASM1612727v1	Streptococcus infantarius		FDAARGOS_1019					GCF_016127275.1-RS_2024_12_13	Complete Genome	2020-12-20		1
GCF_000283595.1	ASM28359v1	Rickettsia japonica YH		YH					GCF_000283595.1-RS_2025_01_08	Complete Genome	2011-09-30		1
GCF_010669205.1	ASM1066920v1	Blautia producta ATCC 27340 = DSM 2950		JCM 1471					GCF_010669205.1-RS_2024_12_13	Complete Genome	2020-02-17		1
GCF_000176855.2	ASM17685v2	Paracidovorax avenae ATCC 19860		ATCC 19860					GCF_000176855.2-RS_2024_07_01	Complete Genome	2011-02-14		1
GCF_001277235.1	ASM127723v1	Cronobacter dublinensis subsp. dublinensis LMG 23823		LMG 23823					GCF_001277235.1-RS_2024_12_16	Complete Genome	2015-09-01		2
GCF_000513295.1	MGMSRv2	Magnetospirillum gryphiswaldense MSR-1 v2		MSR-1					GCF_000513295.1-RS_2025_04_06	Complete Genome	2013-12-16		1
GCF_000264765.2	ASM26476v2	Edwardsiella anguillarum ET080813		80813					GCF_000264765.2-RS_2025_04_01	Complete Genome	2014-08-12		3
GCF_000284615.1	ASM28461v1	Marinobacter nauticus ATCC 49840		ATCC 49840					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-03-27		1
GCF_000025925.1	ASM2592v1	Xylanibacter ruminicola 23		Bryant 23					GCF_000025925.1-RS_2025_01_08	Complete Genome	2010-04-09		1
GCF_900119795.1	MARIT_PRJEB17743	Tenacibaculum maritimum NCIMB 2154					NCIMB 2154		GCF_900119795.1-RS_2024_10_23	Complete Genome	2017-11-20		1
